,0
526,12.87
527,13.21
528,13.54
529,13.43
530,13.44
531,13.63
532,13.63
533,13.49
534,12.97
535,13.12
536,12.95
537,12.72
538,12.62
539,12.77
540,13.25
541,13.64
542,14.18
543,14.04
544,14.21
545,13.52
546,12.94
547,12.40
548,11.73
549,12.07
550,12.10
551,12.01
552,11.69
553,11.62
554,11.67
555,11.59
556,11.19
557,10.79
558,10.43
559,10.56
560,10.72
561,10.67
562,10.77
563,10.85
564,11.54
565,12.76
566,13.19
567,12.74
568,11.87
569,11.56
570,10.06
571,8.92
572,8.20
573,7.55
574,7.14
575,6.09
576,6.22
577,4.96
578,4.90
579,4.70
580,5.26
581,5.13
582,5.52
583,5.61
584,5.76
585,5.87
586,7.09
587,8.08
588,8.52
589,9.28
590,9.86
591,10.04
592,10.72
593,11.48
594,11.56
595,11.34
596,11.36
597,11.47
598,11.08
599,10.98
600,10.92
601,9.68
602,9.68
603,8.64
604,8.02
605,7.17
606,6.94
607,7.10
608,7.71
609,8.08
610,8.57
611,9.62
612,10.41
613,11.68
614,12.04
615,12.56
616,11.94
617,11.86
618,11.84
619,11.88
620,12.24
621,12.26
622,12.40
623,12.51
624,12.49
625,12.53
626,11.85
627,11.79
628,12.01
629,11.98
630,11.75
631,11.03
632,10.79
633,10.54
634,10.72
635,11.01
636,11.17
637,11.52
638,11.77
639,11.78
640,11.53
641,11.19
642,11.03
643,10.85
644,10.91
645,10.68
646,10.78
647,11.11
648,11.06
649,11.09
650,10.57
651,10.78
652,9.84
653,9.01
654,7.95
655,6.81
656,5.66
657,4.72
658,6.28
659,8.96
660,9.77
661,10.29
662,10.97
663,10.94
664,10.72
665,9.70
666,8.40
667,5.87
668,5.10
669,6.18
670,5.49
671,3.41
672,4.89
673,3.92
674,3.88
675,3.74
676,3.11
677,3.06
678,0.66
679,2.56
680,1.31
681,2.83
682,2.56
683,3.77
684,5.93
685,7.30
686,8.57
687,8.42
688,8.49
689,7.99
690,7.90
691,7.68
692,7.77
693,7.82
694,7.84
695,8.05
696,7.94
697,8.25
698,8.11
699,7.72
700,7.47
701,7.01
702,7.07
703,6.77
704,6.44
705,6.61
706,6.30
707,6.28
708,6.70
709,7.28
710,7.92
711,8.43
712,8.96
713,9.46
714,9.81
715,9.80
716,9.64
717,9.46
718,9.53
719,9.60
720,9.45
721,9.62
722,10.03
723,10.33
724,10.54
725,10.55
726,10.76
727,10.75
728,11.01
729,11.30
730,11.60
731,11.94
732,12.26
733,12.80
734,12.92
735,13.12
736,12.31
737,12.20
738,12.20
739,12.03
740,11.75
741,11.98
742,11.94
743,11.72
744,11.75
745,12.08
746,12.52
747,12.53
748,12.96
749,13.12
750,13.29
751,13.67
752,13.53
753,13.96
754,13.88
755,13.79
756,13.92
757,14.80
758,14.40
759,14.78
760,14.52
761,14.60
762,14.85
763,14.43
764,14.47
765,14.56
766,14.63
767,13.48
768,13.37
769,13.91
770,13.88
771,13.63
772,13.43
773,13.43
774,13.42
775,13.47
776,13.57
777,13.20
778,13.49
779,13.79
780,14.05
781,13.95
782,14.92
783,14.82
784,14.83
785,14.53
786,13.96
787,13.81
788,13.07
789,13.43
790,13.51
791,13.13
792,12.91
793,12.95
794,12.74
795,13.02
796,13.04
797,13.01
798,12.89
799,13.02
800,12.99
801,13.03
802,13.12
803,13.37
804,13.78
805,14.20
806,14.10
807,13.94
808,10.86
809,10.62
810,9.98
811,9.72
812,9.76
813,9.66
814,8.71
815,8.68
816,7.95
817,7.58
818,7.03
819,7.40
820,7.03
821,7.18
822,6.82
823,6.97
824,6.58
825,6.00
826,6.83
827,7.91
828,8.77
829,9.72
830,10.28
831,9.97
832,9.72
833,8.23
834,7.28
835,6.72
836,5.99
837,6.04
838,5.83
839,5.24
840,4.38
841,4.32
842,4.59
843,3.62
844,3.34
845,3.43
846,2.90
847,2.51
848,2.51
849,2.68
850,3.49
851,3.84
852,5.06
853,6.39
854,7.40
855,7.79
856,7.42
857,7.11
858,6.79
859,6.55
860,5.96
861,5.78
862,5.44
863,5.31
864,4.98
865,4.84
866,4.22
867,3.34
868,2.51
869,2.12
870,1.59
871,0.86
872,0.72
873,0.44
874,0.73
875,0.94
876,1.02
877,1.45
878,2.48
879,2.32
880,2.29
881,1.92
882,1.80
883,1.52
884,1.36
885,0.84
886,0.76
887,0.57
888,0.06
889,-0.08
890,-0.11
891,-0.10
892,0.30
893,0.08
894,0.37
895,0.93
896,0.92
897,1.02
898,0.83
899,1.16
900,1.85
901,2.89
902,3.27
903,3.28
904,2.81
905,2.63
906,2.59
907,2.37
908,1.93
909,1.06
910,0.50
911,0.28
